20 
1  989  675  957  328  722  
2  933  368  684  982  710  
3  906  596  868  782  891  
4  744  799  704  848  633  
5  723  969  438  951  903  
6  672  220  240  16  399  
7  655  311  197  756  645  
8  533  26  145  81  203  
9  465  448  65  550  534  
10  452  654  591  745  770  
11  431  233  684  160  618  
12  424  605  104  882  895  
13  304  580  150  402  452  
14  279  155  140  143  384  
15  266  411  662  498  132  
16  218  377  244  945  966  
17  141  599  219  739  575  
18  128  71  18  203  74  
19  106  772  167  930  531  
20  37  65  267  17  53  
