50 
1  971  456  858  
2  967  359  888  
3  940  680  762  
4  931  861  640  
5  864  611  70  
6  831  885  952  
7  800  508  708  
8  797  912  748  
9  774  253  383  
10  757  347  403  
11  715  149  953  
12  707  698  894  
13  706  576  234  
14  689  692  619  
15  681  178  501  
16  681  631  951  
17  679  838  955  
18  669  669  645  
19  658  430  597  
20  606  482  13  
21  597  319  165  
22  554  138  85  
23  548  257  858  
24  540  259  626  
25  532  283  73  
26  530  687  778  
27  486  550  825  
28  483  41  260  
29  430  912  447  
30  396  610  739  
31  391  762  784  
32  361  403  524  
33  355  525  421  
34  337  421  903  
35  330  124  269  
36  320  509  523  
37  302  265  510  
38  279  777  916  
39  277  58  66  
40  270  25  300  
41  249  297  264  
42  216  668  358  
43  171  85  479  
44  155  39  80  
45  106  383  149  
46  89  840  39  
47  61  147  325  
48  49  368  151  
49  46  638  824  
50  10  598  210  
