50 
1  988  336  13  714  
2  986  94  3  979  
3  917  874  41  188  
4  863  859  11  574  
5  835  586  259  290  
6  827  661  664  56  
7  824  89  393  740  
8  810  232  796  165  
9  777  729  15  804  
10  757  833  180  185  
11  741  657  479  175  
12  724  448  200  629  
13  674  646  137  622  
14  665  691  66  687  
15  627  587  653  215  
16  562  279  549  634  
17  553  312  667  473  
18  545  407  704  366  
19  490  281  578  656  
20  469  601  410  525  
21  460  497  519  533  
22  446  38  974  431  
23  409  208  737  711  
24  393  548  678  422  
25  350  102  922  591  
26  345  861  499  226  
27  343  837  307  521  
28  324  429  685  551  
29  317  958  832  22  
30  312  992  119  241  
31  295  264  980  171  
32  293  504  449  719  
33  270  733  655  302  
34  224  490  637  717  
35  184  844  367  581  
36  176  358  985  179  
37  153  353  691  808  
38  133  26  929  950  
39  133  909  497  430  
40  117  173  418  989  
41  91  478  582  885  
42  69  126  746  982  
43  66  213  926  836  
44  39  931  512  629  
45  33  999  241  259  
46  20  372  488  994  
47  11  743  496  950  
48  9  926  589  723  
49  5  736  992  346  
50  5  926  526  896  
