30 
1  967  391  51  
2  936  46  594  
3  925  217  267  
4  891  495  107  
5  841  328  280  
6  835  658  78  
7  820  416  221  
8  807  51  778  
9  807  610  128  
10  789  753  66  
11  786  258  437  
12  785  344  365  
13  775  543  161  
14  647  367  479  
15  609  512  361  
16  507  135  846  
17  418  833  199  
18  363  892  180  
19  339  491  637  
20  318  188  925  
21  310  830  325  
22  201  938  266  
23  190  576  749  
24  190  912  329  
25  163  621  755  
26  149  958  279  
27  127  295  952  
28  59  888  616  
29  27  994  254  
30  7  936  825  
