30 
1  984  704  917  
2  921  958  961  
3  899  538  102  
4  887  536  526  
5  877  970  975  
6  798  177  390  
7  727  786  403  
8  695  318  351  
9  678  147  347  
10  674  518  813  
11  663  927  943  
12  625  944  905  
13  584  842  822  
14  525  863  24  
15  435  514  194  
16  431  569  33  
17  425  183  804  
18  421  970  817  
19  386  370  627  
20  347  336  93  
21  343  740  765  
22  323  509  647  
23  312  48  300  
24  282  241  909  
25  219  34  3  
26  213  334  129  
27  201  767  297  
28  169  548  137  
29  75  3  48  
30  38  263  89  
