30 
1  990  346  411  101  
2  957  644  439  178  
3  940  594  540  878  
4  834  701  321  971  
5  807  283  469  905  
6  781  253  354  483  
7  772  416  267  566  
8  755  553  806  949  
9  754  563  911  715  
10  731  980  70  725  
11  666  901  254  938  
12  664  97  276  389  
13  620  72  669  901  
14  564  96  226  814  
15  518  765  207  514  
16  482  409  344  755  
17  458  572  47  483  
18  455  152  976  724  
19  455  314  572  507  
20  391  433  263  962  
21  361  170  902  650  
22  282  813  825  416  
23  274  130  757  819  
24  238  421  911  893  
25  213  202  291  896  
26  213  857  854  294  
27  137  214  766  461  
28  102  143  561  586  
29  43  357  195  568  
30  43  480  37  389  
