30 
1  970  880  16  280  373  
2  959  342  941  172  31  
3  921  816  218  288  142  
4  914  377  626  234  197  
5  873  171  7  999  215  
6  782  491  967  162  77  
7  767  57  799  746  298  
8  727  238  615  69  921  
9  713  707  694  769  10  
10  702  443  944  38  384  
11  691  958  40  470  318  
12  621  118  283  252  990  
13  522  39  580  858  689  
14  440  353  975  27  634  
15  436  889  847  246  96  
16  430  700  682  81  749  
17  412  332  560  825  306  
18  286  509  586  814  266  
19  267  824  130  388  855  
20  264  170  925  670  367  
21  236  935  435  466  273  
22  204  355  808  660  538  
23  162  921  522  512  285  
24  145  992  793  11  563  
25  108  584  926  774  154  
26  32  898  6  577  998  
27  22  385  522  290  997  
28  19  996  662  827  33  
29  11  946  212  576  885  
30  11  859  824  831  245  
