50 
1  998  265  378  26  
2  995  455  94  121  
3  984  101  239  483  
4  976  136  858  29  
5  960  9  383  826  
6  956  17  587  575  
7  946  41  950  60  
8  944  447  373  124  
9  941  777  643  3  
10  919  80  789  196  
11  914  980  352  3  
12  894  559  282  188  
13  880  319  103  747  
14  867  213  480  441  
15  851  689  675  20  
16  823  901  7  609  
17  804  44  123  981  
18  776  840  262  179  
19  755  983  49  138  
20  707  718  839  24  
21  635  246  43  982  
22  599  685  311  435  
23  538  93  382  941  
24  536  522  22  974  
25  532  758  7  946  
26  482  263  916  218  
27  468  989  670  5  
28  456  822  525  200  
29  425  319  988  52  
30  419  764  122  770  
31  409  12  799  946  
32  399  963  76  449  
33  385  964  325  128  
34  360  235  178  975  
35  324  922  279  338  
36  279  242  843  643  
37  270  420  935  211  
38  262  461  912  297  
39  244  171  996  192  
40  243  272  262  981  
41  134  170  843  847  
42  129  993  277  238  
43  127  841  316  710  
44  99  725  941  229  
45  75  251  998  272  
46  60  508  375  974  
47  43  918  41  982  
48  39  711  897  510  
49  22  996  510  302  
50  17  998  499  269  
