50 
1  988  101  61  722  
2  962  458  232  204  
3  942  237  201  548  
4  941  774  559  7  
5  916  601  75  419  
6  903  836  244  62  
7  899  99  687  346  
8  842  574  267  348  
9  839  829  70  282  
10  835  22  738  674  
11  812  208  858  128  
12  790  678  124  482  
13  765  208  35  971  
14  763  229  379  626  
15  751  284  590  383  
16  747  650  378  258  
17  727  864  48  472  
18  699  799  335  168  
19  698  708  288  346  
20  678  30  684  859  
21  644  418  544  370  
22  641  287  42  970  
23  637  125  387  837  
24  608  555  579  285  
25  595  115  730  598  
26  589  442  214  790  
27  584  392  355  689  
28  523  43  932  576  
29  519  793  963  6  
30  481  328  782  376  
31  471  567  637  352  
32  469  647  315  563  
33  440  503  943  81  
34  425  680  335  596  
35  408  564  100  908  
36  401  182  430  905  
37  381  748  754  161  
38  362  57  918  743  
39  361  271  424  860  
40  353  481  916  172  
41  316  909  203  539  
42  189  281  719  805  
43  184  104  813  876  
44  181  939  597  208  
45  163  806  168  858  
46  118  527  601  780  
47  102  256  846  813  
48  27  922  979  77  
49  13  550  733  958  
50  6  454  935  868  
