50 
1  976  946  650  
2  968  946  869  
3  941  837  939  
4  915  778  950  
5  853  663  549  
6  831  947  684  
7  805  645  893  
8  795  952  973  
9  777  333  836  
10  772  854  161  
11  741  718  178  
12  729  469  8  
13  728  876  645  
14  721  943  829  
15  719  847  202  
16  702  718  310  
17  649  912  915  
18  641  977  758  
19  597  361  36  
20  588  774  799  
21  517  514  432  
22  508  979  823  
23  489  451  501  
24  465  22  278  
25  457  685  929  
26  412  871  751  
27  399  320  362  
28  348  771  965  
29  340  821  162  
30  338  703  200  
31  327  259  151  
32  298  604  708  
33  275  222  397  
34  254  382  949  
35  245  376  469  
36  227  122  688  
37  205  70  298  
38  201  431  425  
39  187  244  512  
40  174  239  173  
41  162  73  121  
42  134  530  491  
43  113  252  109  
44  111  215  342  
45  86  326  364  
46  86  4  67  
47  73  129  608  
48  34  626  745  
49  17  169  123  
50  7  58  33  
