40 
1  993  994  996  1000  
2  969  867  962  950  
3  962  926  988  909  
4  957  949  962  948  
5  934  961  959  727  
6  878  769  950  958  
7  859  362  322  428  
8  858  655  911  895  
9  857  763  921  921  
10  817  750  761  864  
11  793  885  949  943  
12  771  901  878  943  
13  726  861  820  885  
14  722  856  536  578  
15  673  803  614  892  
16  673  318  825  650  
17  606  698  856  736  
18  575  180  476  473  
19  555  251  700  726  
20  555  628  769  773  
21  516  674  858  663  
22  514  491  750  300  
23  494  262  331  191  
24  470  780  887  719  
25  458  78  362  210  
26  449  368  656  366  
27  403  439  269  588  
28  382  672  229  348  
29  375  811  341  529  
30  360  248  213  78  
31  288  200  369  146  
32  287  420  412  490  
33  274  84  38  41  
34  235  319  573  578  
35  199  339  294  319  
36  179  205  346  207  
37  51  279  131  87  
38  50  17  179  34  
39  46  6  36  247  
40  6  9  47  91  
