40 
1  988  562  706  744  
2  984  550  948  898  
3  982  889  371  652  
4  948  977  502  310  
5  902  920  1000  902  
6  889  58  682  306  
7  883  419  869  726  
8  868  509  583  630  
9  783  585  207  71  
10  737  20  409  104  
11  724  280  362  595  
12  708  414  767  899  
13  692  457  858  271  
14  682  913  108  364  
15  667  986  888  999  
16  663  410  876  911  
17  630  475  226  682  
18  552  283  953  713  
19  548  518  471  736  
20  498  59  32  655  
21  492  450  332  355  
22  470  711  332  872  
23  439  851  873  407  
24  296  472  232  152  
25  246  833  812  229  
26  233  548  228  224  
27  228  708  467  847  
28  210  718  473  287  
29  194  128  766  512  
30  192  29  666  390  
31  185  97  272  339  
32  123  372  131  657  
33  88  115  26  93  
34  77  837  227  743  
35  55  304  81  9  
36  50  295  138  71  
37  47  268  707  629  
38  41  65  55  545  
39  22  166  14  449  
40  4  83  334  46  
