50 
1  940  204  170  
2  934  783  952  
3  889  710  561  
4  870  131  541  
5  844  888  977  
6  843  784  243  
7  798  996  508  
8  778  805  655  
9  757  422  348  
10  696  891  510  
11  666  911  657  
12  655  206  651  
13  641  320  729  
14  630  123  682  
15  622  715  416  
16  612  764  977  
17  547  193  173  
18  540  783  652  
19  531  480  459  
20  528  565  897  
21  474  210  867  
22  447  672  716  
23  443  685  236  
24  433  12  87  
25  431  75  7  
26  425  259  289  
27  404  521  804  
28  381  119  540  
29  355  434  558  
30  352  469  8  
31  334  652  59  
32  330  657  716  
33  274  224  58  
34  259  300  181  
35  250  736  841  
36  242  217  62  
37  235  469  617  
38  218  502  638  
39  208  165  111  
40  177  338  84  
41  141  109  98  
42  135  526  166  
43  133  171  347  
44  124  479  455  
45  120  310  325  
46  103  522  624  
47  100  158  17  
48  89  451  238  
49  22  224  363  
50  21  113  579  
