40 
1  971  358  178  
2  947  321  175  
3  946  85  686  
4  928  272  212  
5  889  894  16  
6  867  630  75  
7  863  79  137  
8  822  142  487  
9  811  234  675  
10  804  332  396  
11  742  710  476  
12  726  188  456  
13  700  727  199  
14  668  62  939  
15  653  674  166  
16  639  810  169  
17  629  384  871  
18  606  21  825  
19  565  870  461  
20  537  566  385  
21  532  298  656  
22  458  469  207  
23  450  344  936  
24  417  717  567  
25  395  964  256  
26  364  598  469  
27  299  270  495  
28  266  848  104  
29  235  494  753  
30  229  630  378  
31  204  911  340  
32  197  934  54  
33  185  329  948  
34  156  581  675  
35  135  146  902  
36  122  854  515  
37  105  630  624  
38  95  620  772  
39  21  881  615  
40  17  687  812  
