50 
1  975  952  915  
2  947  265  252  
3  941  900  980  
4  908  747  888  
5  908  940  717  
6  899  959  283  
7  870  403  606  
8  855  996  798  
9  832  576  691  
10  757  594  113  
11  757  51  479  
12  736  648  570  
13  702  889  651  
14  692  430  351  
15  660  383  526  
16  649  855  834  
17  601  379  374  
18  595  282  651  
19  577  990  940  
20  511  831  946  
21  505  566  886  
22  453  302  759  
23  441  826  718  
24  418  204  522  
25  407  451  386  
26  392  25  150  
27  376  482  676  
28  364  747  639  
29  362  884  549  
30  348  686  331  
31  223  196  411  
32  218  245  113  
33  216  129  33  
34  210  170  106  
35  184  455  180  
36  183  574  46  
37  173  287  197  
38  172  610  645  
39  169  772  661  
40  158  73  597  
41  158  889  324  
42  140  970  917  
43  128  145  363  
44  119  122  368  
45  101  429  247  
46  95  671  512  
47  49  435  54  
48  30  229  111  
49  13  46  21  
50  4  19  240  
