20 
1  998  22  681  550  92  
2  985  928  28  419  76  
3  984  523  283  402  109  
4  981  343  443  168  257  
5  902  245  345  608  297  
6  895  268  609  283  358  
7  874  73  220  225  969  
8  872  129  953  383  85  
9  710  817  625  493  36  
10  692  803  211  297  510  
11  690  2  998  996  3  
12  541  944  696  73  226  
13  507  349  204  596  875  
14  500  522  341  218  863  
15  397  238  772  729  330  
16  370  683  567  709  208  
17  366  599  431  762  289  
18  336  837  934  495  23  
19  211  51  999  564  268  
20  204  443  890  643  269  
