50 
1  987  8  416  
2  926  280  604  
3  925  27  847  
4  905  38  564  
5  866  396  120  
6  845  33  590  
7  826  571  292  
8  755  284  171  
9  751  55  524  
10  690  266  885  
11  686  684  416  
12  672  158  868  
13  669  743  199  
14  660  385  223  
15  649  296  264  
16  648  905  101  
17  640  356  642  
18  633  674  66  
19  631  243  758  
20  617  571  84  
21  617  347  595  
22  599  181  645  
23  586  764  588  
24  539  851  150  
25  497  561  411  
26  480  759  323  
27  474  745  129  
28  473  618  323  
29  458  621  429  
30  405  673  186  
31  402  405  837  
32  380  210  707  
33  375  278  543  
34  339  827  708  
35  329  664  252  
36  311  606  326  
37  296  883  75  
38  292  608  392  
39  264  161  828  
40  224  251  929  
41  204  157  999  
42  203  488  819  
43  189  481  570  
44  183  924  308  
45  134  808  299  
46  120  891  177  
47  118  599  400  
48  82  745  770  
49  50  585  739  
50  12  833  831  
