50 
1  982  953  461  442  565  
2  936  931  567  633  858  
3  918  781  855  842  125  
4  910  811  940  990  882  
5  889  262  745  648  520  
6  888  994  853  913  969  
7  874  892  966  777  928  
8  814  37  943  977  669  
9  788  756  445  621  525  
10  760  358  721  948  538  
11  732  931  942  107  694  
12  712  539  904  831  302  
13  698  471  393  131  891  
14  627  872  761  303  989  
15  620  451  537  786  492  
16  607  883  606  966  641  
17  581  866  838  662  700  
18  579  563  879  292  345  
19  528  579  679  505  628  
20  528  374  464  498  805  
21  512  906  796  872  162  
22  505  683  391  684  603  
23  501  587  692  727  639  
24  464  53  463  123  493  
25  462  665  390  167  661  
26  456  133  83  819  194  
27  442  711  827  790  781  
28  428  729  176  638  751  
29  427  679  629  514  349  
30  396  494  867  44  397  
31  377  285  715  261  138  
32  371  49  47  106  322  
33  330  33  662  77  32  
34  329  826  863  431  786  
35  321  343  773  430  520  
36  292  206  63  207  672  
37  240  222  173  119  21  
38  229  54  61  75  459  
39  197  247  285  128  427  
40  190  609  748  971  587  
41  180  502  7  406  49  
42  162  149  312  31  258  
43  161  137  460  144  120  
44  148  37  141  81  4  
45  146  541  406  552  575  
46  135  380  42  9  87  
47  107  116  46  154  140  
48  96  251  4  737  346  
49  85  679  73  214  382  
50  27  359  84  813  107  
