50 
1  993  675  248  
2  978  128  811  
3  948  990  364  
4  921  563  503  
5  901  246  426  
6  900  144  413  
7  898  932  482  
8  887  223  330  
9  870  524  159  
10  800  199  205  
11  762  591  638  
12  725  207  66  
13  721  707  176  
14  721  675  223  
15  707  153  509  
16  688  438  907  
17  673  452  63  
18  652  908  15  
19  648  274  587  
20  629  273  752  
21  620  142  813  
22  611  67  365  
23  602  363  366  
24  597  410  511  
25  542  775  257  
26  488  272  278  
27  469  274  686  
28  469  705  126  
29  456  696  813  
30  453  692  87  
31  445  475  136  
32  420  869  530  
33  388  198  271  
34  386  294  192  
35  374  921  766  
36  364  98  427  
37  339  215  412  
38  330  785  278  
39  303  988  193  
40  301  955  505  
41  262  451  494  
42  192  656  163  
43  158  670  734  
44  140  183  58  
45  117  624  175  
46  63  826  814  
47  61  885  52  
48  20  564  881  
49  13  694  939  
50  12  27  400  
