50 
1  993  168  76  
2  971  399  44  
3  957  425  63  
4  956  952  1  
5  942  149  269  
6  923  191  289  
7  905  374  156  
8  824  565  119  
9  819  218  480  
10  818  286  349  
11  815  794  48  
12  794  227  492  
13  721  124  702  
14  705  629  228  
15  691  368  420  
16  678  441  428  
17  652  525  329  
18  635  692  207  
19  620  85  855  
20  610  812  150  
21  604  103  842  
22  597  34  934  
23  558  134  813  
24  544  786  172  
25  534  606  397  
26  473  357  632  
27  407  374  695  
28  406  595  537  
29  385  623  470  
30  383  10  997  
31  339  825  273  
32  330  87  973  
33  282  262  870  
34  277  862  321  
35  251  74  980  
36  229  905  280  
37  210  989  61  
38  209  880  351  
39  188  906  390  
40  188  758  576  
41  169  723  626  
42  167  901  452  
43  146  548  820  
44  135  825  629  
45  117  961  308  
46  111  743  762  
47  93  865  584  
48  50  960  443  
49  39  708  892  
50  17  819  896  
