20 
1  930  50  355  780  358  
2  887  155  769  525  151  
3  866  761  428  147  211  
4  796  223  519  568  423  
5  742  756  424  33  795  
6  706  511  328  338  632  
7  701  181  108  918  617  
8  689  458  136  912  226  
9  662  503  364  913  85  
10  451  622  143  932  328  
11  441  232  661  621  513  
12  436  551  261  773  496  
13  386  431  558  845  278  
14  379  988  57  477  376  
15  375  718  77  929  366  
16  204  913  65  755  642  
17  168  16  825  806  923  
18  123  127  465  751  948  
19  45  263  883  867  521  
20  43  628  995  273  339  
