40 
1  972  537  958  775  853  
2  960  825  970  872  946  
3  954  889  954  916  981  
4  953  750  909  870  967  
5  952  773  886  952  925  
6  935  963  948  831  848  
7  924  873  915  716  945  
8  918  850  821  821  707  
9  914  808  858  902  759  
10  882  787  693  935  862  
11  835  910  575  519  813  
12  818  807  489  585  655  
13  809  900  584  948  748  
14  776  824  925  939  741  
15  766  862  627  614  811  
16  681  406  416  468  647  
17  670  456  413  538  165  
18  638  601  604  338  700  
19  633  764  649  569  671  
20  612  793  778  900  844  
21  603  755  511  785  777  
22  589  912  871  907  836  
23  571  884  702  916  824  
24  494  347  529  280  214  
25  459  285  378  555  288  
26  447  408  432  726  583  
27  390  469  761  510  226  
28  370  407  139  433  230  
29  334  432  320  582  271  
30  324  45  112  333  270  
31  322  606  526  518  355  
32  315  187  98  307  164  
33  306  622  690  376  385  
34  306  574  447  492  408  
35  261  453  91  523  378  
36  242  185  106  113  418  
37  78  105  62  26  36  
38  62  138  133  252  197  
39  61  48  184  64  71  
40  26  5  5  48  25  
