50 
1  998  109  156  340  
2  994  239  371  71  
3  961  72  808  111  
4  961  386  395  106  
5  958  910  141  20  
6  932  142  844  112  
7  907  558  87  484  
8  903  625  293  166  
9  896  586  363  115  
10  889  357  138  557  
11  887  8  912  425  
12  882  205  203  731  
13  874  452  758  53  
14  868  42  601  649  
15  833  509  325  333  
16  821  353  143  642  
17  789  15  903  519  
18  789  262  35  947  
19  775  386  315  507  
20  766  914  475  22  
21  761  860  26  521  
22  731  968  239  43  
23  692  219  910  187  
24  679  16  599  915  
25  637  1  982  832  
26  627  376  691  276  
27  620  375  550  463  
28  618  893  9  831  
29  599  218  624  617  
30  569  818  333  275  
31  567  702  318  448  
32  537  677  138  707  
33  510  827  452  205  
34  468  850  545  173  
35  444  42  631  909  
36  396  774  823  76  
37  390  513  202  837  
38  387  262  810  522  
39  387  487  605  532  
40  350  747  865  80  
41  328  133  838  723  
42  294  362  753  604  
43  250  916  422  287  
44  234  669  840  227  
45  203  915  824  73  
46  190  435  504  855  
47  104  375  961  523  
48  101  301  748  841  
49  38  999  387  194  
50  27  596  602  921  
