50 
1  965  45  965  24  
2  949  81  598  287  
3  886  568  185  308  
4  877  293  319  451  
5  872  852  122  157  
6  821  153  787  246  
7  794  181  786  248  
8  791  989  332  5  
9  779  866  15  694  
10  756  248  340  669  
11  753  705  588  87  
12  750  26  362  951  
13  749  506  426  304  
14  748  189  509  554  
15  741  218  696  347  
16  665  851  579  52  
17  647  790  747  42  
18  618  669  63  788  
19  597  868  202  350  
20  590  17  795  843  
21  581  995  136  81  
22  536  344  406  735  
23  535  780  457  185  
24  523  847  358  188  
25  509  514  213  814  
26  501  347  966  80  
27  487  541  874  126  
28  471  298  222  910  
29  441  85  995  134  
30  437  455  617  444  
31  421  321  847  280  
32  399  351  548  720  
33  369  610  335  689  
34  354  195  905  493  
35  331  922  29  840  
36  328  922  558  152  
37  299  526  866  245  
38  294  275  895  439  
39  292  375  509  788  
40  279  892  310  457  
41  274  734  704  294  
42  201  939  802  51  
43  185  579  978  100  
44  175  141  957  614  
45  165  922  152  718  
46  144  148  377  993  
47  105  996  144  356  
48  58  651  954  282  
49  34  529  701  862  
50  12  952  453  805  
