50 
1  968  889  784  838  896  
2  963  938  956  967  827  
3  955  479  655  652  883  
4  946  983  961  882  918  
5  941  934  929  970  989  
6  941  904  666  915  885  
7  940  904  800  900  873  
8  934  977  973  976  944  
9  933  946  725  913  832  
10  888  967  954  874  939  
11  863  698  871  801  900  
12  830  585  802  770  646  
13  821  874  647  660  922  
14  816  857  680  678  746  
15  799  873  856  961  886  
16  778  793  798  415  647  
17  774  641  495  285  784  
18  746  773  758  889  805  
19  726  502  576  815  424  
20  660  560  562  667  287  
21  617  729  580  835  852  
22  505  391  493  546  491  
23  501  632  426  500  655  
24  486  708  470  348  369  
25  475  450  268  501  264  
26  437  135  312  157  483  
27  374  164  235  217  399  
28  368  175  124  60  288  
29  353  276  136  418  725  
30  333  582  190  269  361  
31  332  251  267  192  277  
32  308  509  285  688  349  
33  289  390  365  315  322  
34  289  494  652  850  637  
35  272  788  646  871  454  
36  262  134  224  245  160  
37  261  145  68  88  58  
38  254  331  108  132  211  
39  231  453  291  312  407  
40  179  158  329  440  105  
41  134  244  172  52  117  
42  118  218  357  552  54  
43  112  320  271  452  520  
44  86  549  127  86  158  
45  62  292  146  176  154  
46  35  27  21  84  116  
47  14  42  129  149  162  
48  7  367  391  95  185  
49  6  12  44  7  21  
50  6  3  6  32  37  
