30 
1  966  708  110  
2  937  121  346  
3  930  122  506  
4  868  628  4  
5  821  695  238  
6  815  459  283  
7  790  34  894  
8  711  380  770  
9  708  853  10  
10  666  773  62  
11  646  527  450  
12  598  356  528  
13  516  576  722  
14  490  279  909  
15  437  731  111  
16  380  224  569  
17  379  500  599  
18  342  91  950  
19  334  734  454  
20  324  157  856  
21  286  841  649  
22  281  396  982  
23  268  340  575  
24  236  456  581  
25  235  958  235  
26  211  393  665  
27  190  283  901  
28  163  594  465  
29  159  749  139  
30  25  777  824  
