30 
1  1000  998  990  988  
2  943  886  704  890  
3  941  727  617  645  
4  903  910  707  862  
5  885  832  842  789  
6  873  844  772  790  
7  829  978  957  913  
8  793  836  918  809  
9  755  951  776  989  
10  744  906  860  820  
11  732  231  305  519  
12  724  968  898  853  
13  622  908  634  785  
14  595  699  507  913  
15  584  377  460  187  
16  575  517  385  565  
17  570  374  510  421  
18  564  393  479  557  
19  558  340  195  456  
20  536  669  260  496  
21  523  271  566  206  
22  478  281  395  511  
23  313  576  588  632  
24  286  366  250  657  
25  258  178  81  95  
26  172  35  105  38  
27  154  95  244  39  
28  68  165  166  212  
29  34  37  89  19  
30  31  46  23  11  
